entid,taxtype,debt
1057654777,1,
570077886,8,
570077886,8,
702990878,8,
702990878,8,
530649537,8,
530649537,8,
572538608,8,
572538608,8,
228182297,8,
228182297,8,
338094005,8,
527542236,9,
527542236,9,
527542236,9,
527542236,9,
527542236,9,
294105257,9,
63165459,9,
941804680,9,
941804680,9,
941804680,9,
941804680,9,
207081036,9,
1207807961,9,
798538458,9,
20831715,9,
924244394,9,
5503066,9,
646618607,9,
863135967,9,
271874611,9,
809273387,9,
945726753,9,
770118195,9,
581905153,9,
553181905,9,
1209470906,9,
320949169,9,
320949169,9,
505319984,9,
